name,calories,sugar,added_sugar,fat,fiber,protein,sodium,cholesterol,saturated_fat,carbohydrates,vitamin_c,calcium,potassium,magnesium,iron,omega3,monounsaturated_fat,zinc,phosphorus,vitamin_a,vitamin_b6,vitamin_b12,vitamin_e,vitamin_k,choline,niacin,health_label
"Ice cream mint chip, dipped, with sprinkles",305.18,20.42,17.35,16.34,1.23,2.47,101.59,47.45,7.76,37.06,2.59,116.51,242.98,15.91,0.27,0.38,4.14,0.5,138.18,0.0725,0.0951,0.000398,0.448,0.0027,28.52,0.121,Unhealthy
"Cauliflower, whole, grilled",30.51,2.02,0,0.23,2.38,2.71,24.76,0,0.05,4.4,82.2,50.96,202.54,11.05,1.24,0.04,0.02,0.15,55.36,0.0431,0.1948,0,0.416,0.0274,20.03,0.51,Healthy
"Mozzarella part-skim, creamy, reduced fat",53.15,3.55,0.29,1.03,0,5.72,131.17,14.37,0.53,5.25,0.49,142.31,129.92,12.36,0.1,0.04,0.16,0.96,127.95,0.0648,0.0558,0.000496,0.039,0.0007,18.11,0.161,Healthy
"Ice cream bar chocolate, coated, chocolate coated",287.11,24.87,21.85,12.83,0.9,3.62,113.05,66.8,6.88,39.29,2.49,112.93,107.14,14.72,0.18,0.47,2.71,0.56,94.24,0.1329,0.0637,0.00034,0.419,0.0013,20.01,0.312,Unhealthy
"Wonton fried, value, with mayo",303.16,2.71,1.71,16.12,1.86,10.92,976.05,55.78,7.1,28.6,1.69,80.67,174.89,23.72,2.95,1.53,6.06,2.44,129.58,0.0124,0.0744,0.000505,0.517,0.0085,42.39,3.273,Unhealthy
"Peanut butter chocolate, creamy, sweetened",693.5,6.88,6.27,66.06,0.1,2.51,545.82,42.81,15.54,22.23,2.37,13.6,135.51,19.92,0.91,9.65,19,0.28,72.86,0.0011,0.0406,3.60E-05,5.416,0.0745,19.97,0.263,Unhealthy
"Popcorn butter, bite size, BBQ coated",564.16,3.69,1.05,35.88,3.82,6.49,526.02,7.77,11.28,53.82,10.22,26.55,364.49,39.24,1.55,4.29,13.25,0.84,151.14,0.0021,0.3616,0,2.604,0.006,10.11,3.442,Unhealthy
"Fried pickles, extra crispy, fried salted",277.13,1.14,0.31,15.29,1.94,7.41,434.4,37.19,3.65,27.47,2.84,13.06,446.7,23.16,1.98,1.56,4.52,1.17,158.32,0.0042,0.1205,0.000234,2.97,0.0075,11.47,2.759,Unhealthy
"Fava beans, whole, simmered",178.32,0.82,0,1.16,11.84,21.21,9.47,0,0.18,20.76,4.77,54.14,561.08,44.91,6,0.19,0.15,1.6,186.28,0.0043,0.284,0,0.894,0.0038,49.13,1.347,Healthy
"Chicken wing skinless, diced, stir-fried",118.57,0,0,2.13,0,24.85,68.85,61.13,0.52,0,0.37,9.68,319.51,20.39,1.49,0.11,0.57,1.6,218.64,0.0142,0.3223,0.000764,0.432,0.0017,55.41,13.512,Healthy
"Buttermilk low fat, plain, fat free",61.38,4.61,0.06,1.74,0,5.88,73.58,7.03,0.95,5.55,0.16,136.41,144.47,8.29,0.08,0.06,0.42,0.47,120.05,0.0293,0.0663,0.00074,0.018,0.0004,12.78,0.164,Healthy
"Black beans, split, cooked",119.42,1.47,0,1.42,13.92,10.18,7.74,0,0.19,16.48,0.47,24.09,547.66,37.71,5.95,0.34,0.34,1.23,103.2,0.0005,0.2999,0,0.144,0.0091,27.64,1.995,Healthy
"Guava, whole, fresh",60.16,7.24,0,0.76,1.08,1.2,0.56,0,0.05,12.13,6,8.41,210.33,17.35,0.18,0.07,0.03,0.13,16.98,0.0097,0.1498,0,0.438,0.0092,7.1,0.704,Healthy
"Bok choy, whole leaf, microwaved",24.71,0.47,0,0.71,2.59,1.52,43.64,0,0.1,3.06,65.4,134.36,290.3,46.9,0.62,0.21,0.04,0.36,63.49,0.4115,0.1066,0,1.763,0.3297,15.53,0.552,Healthy
"Lima beans, whole, simmered",205.01,2.82,0,0.53,5.12,21.68,12.72,0,0.07,28.38,2.21,34.36,581.83,70.5,3.96,0.07,0.08,1.72,122.7,0.001,0.2018,0,0.648,0.0033,49.92,0.815,Healthy
"Sorghum, cracked, soaked",210.05,0.81,0,3.29,9.2,5.46,4.62,0,0.58,39.65,0.67,32.73,154.24,113.1,2.99,0.53,0.8,2.98,297.28,0.0008,0.272,0,0.929,0.0017,23.9,1.073,Healthy
"Syrup chocolate, chunky, flavored",600.82,7.91,6.29,57.94,0.46,1.32,525.3,40.97,9.93,18.52,3.47,23.39,160.82,9.24,0.21,8.25,20.83,0.12,88.31,0.0045,0.0601,6.00E-06,2.43,0.0547,11.47,0.233,Unhealthy
"Sorrel, minced, raw",24.48,1.03,0,0.32,2.37,2,79.15,0,0.05,3.4,46.61,230.85,296.5,46.95,1.68,0.09,0.04,0.43,27.78,0.7194,0.2454,0,1.44,0.5702,13.05,1.168,Healthy
"Oats rolled, whole grain, simmered",203.21,1.26,0,4.69,4.98,11.64,5.68,0,0.73,28.61,0.97,21.62,137.57,85.41,3.75,0.92,1.15,2.77,110.59,0.0003,0.2334,0,0.721,0.0041,26.98,5.876,Healthy
"Cereal fruit flavored, snack size, marshmallow topped",448.66,44.26,39.56,9.34,3.82,6.18,358.8,1.63,3.17,84.97,5.67,13.5,147.16,25.33,5.39,0.5,1.42,4.64,84.4,0.1639,0.4139,0.003032,1.976,0.0054,18.92,13.12,Unhealthy
"Rice crispy treat, multi-pack, sweetened",431.96,27.87,24.64,13.88,2.11,4.12,291.21,1.98,2.17,72.64,4.73,27.28,124.02,39.17,14.96,0.39,4.28,1.76,65.84,0.2043,0.4987,0.003725,1.108,0.0029,11.11,5.195,Unhealthy
"Taffy, miniature, fruit flavored",568,60.66,56.34,25.84,1.92,6.33,128.84,10.53,13.36,77.53,0.87,73.95,87.26,8.23,2.91,1.2,5.52,0.34,96.45,0.0099,0.0172,0.00015,1.768,0.0025,19.05,0.609,Unhealthy
"Lentils brown, whole, boiled",137.38,0.55,0,0.86,10.76,15.54,4.07,0,0.11,16.87,2.12,58.91,267.52,68.14,5.88,0.12,0.11,2.69,142.7,0.0009,0.2793,0,0.837,0.0035,36.81,2.286,Healthy
"Black beans, mature, pressure cooked",217.46,1,0,1.94,12.52,24.81,5.93,0,0.3,25.19,1.94,55.46,291.64,41.29,2.52,0.45,0.43,2.42,209.73,0.0043,0.1044,0,0.81,0.005,21.08,2.215,Healthy
"Turnip greens, shredded, sauteed",37.5,1.82,0,0.7,1.82,2.04,53.35,0,0.14,5.76,47.49,101.17,513.6,20.03,2.13,0.13,0.1,0.68,43.09,0.6113,0.2448,0,1.887,0.2258,10.35,1.369,Healthy
"Corn dog, super sized, grilled with sauce",369.56,2.89,2.03,21,0.83,11.47,662.52,39.02,9.98,33.67,1.91,108.3,274.32,13.43,1.87,1.42,7.51,2.45,170.96,0.0426,0.0552,0.001151,0.737,0.0049,37.66,5.003,Unhealthy
"Cereal cookie flavored, multi-pack, marshmallow topped",435.31,34.65,32.01,9.27,1.63,7.49,277.69,1.47,4,80.48,4.87,96.1,168.1,39.96,9.34,0.59,2.58,1.14,145.47,0.251,0.3008,0.002201,4.452,0.002,8.52,7.089,Unhealthy
"Chips pita, crunchy, BBQ coated",539.19,0.39,0.07,28.15,3.43,7.65,642.24,0.81,9.6,63.81,11.67,29.11,444.03,35.26,0.62,1.7,7.51,1.12,126.83,0.0024,0.3335,0,2.915,0.0042,10.17,1.148,Unhealthy
"Sunflower seeds, slivered, blanched",710.49,2.29,0,58.69,9.36,22.79,4.19,0,8.76,22.78,1.35,192.72,741.14,174.73,4.85,13.09,18.23,6.98,472.5,0.0022,0.5562,0,21.64,0.0027,41.69,3.391,Healthy
"Kamut, cooked, simmered",139.86,0.68,0,2.26,9.83,6.07,4.74,0,0.49,23.81,0.33,46.45,255.37,118.57,3.07,0.25,0.68,2.05,290.97,0.0003,0.2445,0,0.333,0.0041,27.29,1.643,Healthy
"Navy beans, hulled, pressure cooked",184.48,1.09,0,1.16,12.17,14.17,8.8,0,0.15,29.34,1.95,56.01,271.4,32.25,5.71,0.31,0.28,1.89,163.82,0.0008,0.2476,0,0.43,0.0097,35.29,1.904,Healthy
"Fried cheese sticks, crispy, flash fried",358.72,2.65,0.24,24.64,1.43,6.38,628.83,22.85,5.65,27.86,2.48,29.05,286.49,19.67,0.87,1.26,9.85,0.91,109.62,0.0093,0.2098,0.000985,0.768,0.0147,16.89,1.691,Unhealthy
"Cod, tail, poached",199.35,0.31,0,11.19,0,23.76,50.39,58.59,2.3,0.9,1.22,13.99,232.72,39.59,0.68,3.41,2.72,1.35,259.39,0.0227,0.3138,0.001132,0.449,0.003,46.83,3.855,Healthy
"Fig, peeled, puree",52.43,5.84,0,0.59,4.34,0.35,4.56,0,0.04,11.43,70,12.83,315.88,16.68,0.24,0.03,0.03,0.2,15.74,0.0474,0.0364,0,1.424,0.0037,6.38,0.285,Healthy
"Soda orange concentrate, concentrated, carbonated",281.37,46.96,46.65,1.73,0,0.85,12.49,0,0.02,65.6,3.2,0.65,4.24,0.01,0.21,0.12,0.42,0.06,2.06,0.0001,0.002,0,0.006,0.0001,2.11,0.047,Unhealthy
"Oats steel cut, cooked, cooked",228.02,2.39,0,4.5,9.96,10.54,9.25,0,1.1,36.34,0.84,18.91,150.46,91.16,3.8,0.74,1.55,2.7,236.68,0.0001,0.2615,0,0.545,0.0038,29.71,1.014,Healthy
"Quark, smooth, chilled",47.34,4.02,0.27,0.74,0,3.94,143.47,11.44,0.36,6.23,1.25,107.45,175.45,11.44,0.03,0.02,0.16,0.45,133.74,0.0528,0.0668,0.000332,0.073,0.0006,14.74,0.083,Healthy
"Fried chicken, battered, shallow fried",344.24,4.85,1.23,17.44,2.29,5.93,510.51,52.96,5.49,40.89,7.92,29.77,360.18,25.76,1.96,1.68,6.87,0.74,74.2,0.0059,0.2487,0.000745,2.096,0.0055,13.54,1.903,Unhealthy
"Praline, filled, dark chocolate coated",440.71,54.39,45.12,17.59,0.67,3.44,133.77,3.25,5.29,67.16,0.71,62.86,299.05,16.84,1.27,0.97,5.66,1.24,16.38,0.0014,0.0929,9.40E-05,0.777,0.0047,13.7,0.377,Unhealthy
"Chips veggie fried, family size, heavily salted",459.82,1.72,0.44,25.82,1.92,6.98,771.93,4.96,5.32,49.88,5.25,37.05,366.89,18.35,1.22,3.4,7.67,1.4,162.77,0.0082,0.1042,0,3.562,0.0067,14.7,3.978,Unhealthy
"Endive, mature, wilted",31.71,1.15,0,0.23,2.55,2.57,23.4,0,0.04,4.84,23.26,98.21,259.75,65.6,1.94,0.06,0.03,0.61,29.01,0.9245,0.2573,0,2.316,0.4473,24.72,0.44,Healthy
"Brownie, jumbo, with glaze",419.02,39.36,37.2,15.5,1.24,5.22,340.64,31.67,4.31,64.66,0.29,42.15,127.18,17.99,2.85,1.44,5,0.89,81.21,0.0388,0.0698,0.000123,1.547,0.0111,16.31,1.355,Unhealthy
"Tuna albacore, fillet, smoked",82.18,0.22,0,1.78,0,16.02,72.26,58.27,0.22,0.52,2.89,17.13,327.8,24.3,1.47,0.26,0.71,1.88,324.21,0.034,0.3896,0.007374,1.265,0.0024,69.35,5.4,Healthy
"Egg white, sliced, scrambled",131.97,0.22,0,5.33,1.57,17.06,68.32,108.59,1.5,3.94,0.02,100.7,158.68,47.97,1.2,0.83,1.23,1.18,132.2,0.0229,0.1028,0.000807,0.341,0.0006,49.42,2.87,Healthy
"Turkey ground lean, cubed, poached",117.74,0.17,0,2.78,0,22.83,47.58,70.39,0.77,0.35,0.17,14.96,243.05,24.41,1.04,0.17,1.04,1.48,157.35,0.0142,0.3774,0.000994,0.435,0.0027,67.87,13.792,Healthy
"Burger beef, supreme, with special sauce",373.79,9.43,7.98,18.39,0.74,18.73,650.37,72.22,5.56,33.34,1.15,157.68,270.33,25.71,2.65,1.56,6.89,1.21,120.81,0.0485,0.1655,0.001282,0.979,0.0097,42.1,3.386,Unhealthy
"Almonds, hulled, lightly salted",624.85,2.74,0,48.93,6.71,23.19,2.09,0,4.63,22.93,1.42,222.51,450.49,349.32,4.57,11.17,15.78,5.77,426.95,0.0013,0.5261,0,4.976,0.0016,36.75,2.385,Healthy
"Fried cheese sticks, cornmeal coated, fried in vegetable oil",367.06,1.11,0.32,18.54,3,9.42,318.62,57.38,5.29,40.63,9.88,37.05,351.68,17.2,1.19,2.17,5.94,1.41,159.86,0.0018,0.2619,0.000237,2.692,0.0161,16.2,1.036,Unhealthy
"Liverwurst, bulk, smoked",393.89,0.38,0.07,33.45,0,18.25,1426.65,68,13.27,4.96,5.31,33.39,344.25,16.93,1.65,1.27,13.7,3.24,143.42,0.0098,0.2379,0.00132,0.432,0.0006,53.36,3.637,Unhealthy
"Chocolate covered raisins, miniature, dark chocolate coated",332.74,38.03,31.89,8.82,1.88,3.25,31.39,12.47,3.88,60.09,1.62,44.49,131.13,41.43,0.76,0.28,2,0.35,122.63,0,0.0127,0.000158,1.561,0.0039,11.55,0.555,Unhealthy
"Syrup chocolate, spreadable, extra creamy",607.3,7.5,5.37,55.3,0.56,4.06,516.41,30.26,19.81,23.34,4.73,51.89,66.01,5.35,0.84,5.65,20.49,0.46,36.15,0.0062,0.0941,4.70E-05,4.823,0.0533,19.62,0.359,Unhealthy
"Fried ravioli, thin cut, pan fried",353.66,3.35,1.55,23.62,2.63,6.89,676.91,52.65,8.15,28.38,8.71,18.34,418.55,33.64,0.91,3.32,6.23,1.24,72.61,0.0028,0.2056,0.000859,2.553,0.0128,19.48,1.998,Unhealthy
"Rice crispy treat, single serve, sugar frosted",434.62,33.3,30.1,9.98,3.09,5.18,447.55,3.92,2.83,81.02,12.66,94.01,87.42,39.05,11.34,0.72,2.76,2.53,105.31,0.3947,0.346,0.003521,1.718,0.0041,9.57,10.096,Unhealthy
"Artichoke, sliced, roasted",42.85,2.61,0,0.49,1.28,3.4,21.85,0,0.07,6.21,34.33,51.36,157.46,16.89,1.11,0.05,0.05,0.37,50.9,0.2969,0.1156,0,1.007,0.066,17.21,1.118,Healthy
"Arugula, shredded, braised",30.29,0.88,0,0.53,1.99,2.85,60.61,0,0.09,3.53,19.74,71,362.79,48.04,3.26,0.1,0.01,0.6,23.03,0.4743,0.1112,0,0.647,0.301,21.71,0.319,Healthy
"Hush puppies, battered, flash fried",303.18,0.59,0.05,15.5,2.11,7.62,536.66,30.73,3.57,33.3,5.39,15.06,280.95,23.64,1.09,1.22,4.93,0.85,63.04,0.001,0.2066,0.000459,0.58,0.0064,21.95,2.376,Unhealthy
"Cheese puffs, regular, spicy",408.83,0.08,0.02,21.35,2.08,5.17,481.73,1.57,3.64,49,13.78,34.55,572.25,23.59,0.66,1.81,8.27,1.38,161.75,0.0064,0.2638,0,4.376,0.0026,21.32,2.649,Unhealthy
"Cereal cookie flavored, fun size, caramel dipped",433.49,29,26.18,9.09,2.57,3.74,235.83,4.44,1.91,84.18,13.53,67.14,58.21,13.63,7.61,0.39,1.68,1.14,187.37,0.3496,0.8448,0.004763,2.062,0.0039,7.42,9.348,Unhealthy
"Almonds, shelled, blanched",533.28,1.64,0,42.52,9.66,18.68,0.85,0,3.98,18.97,1.03,258.31,637.23,233.53,7.9,7.19,13.32,7.84,437.51,0.0015,0.2431,0,9.894,0.0026,50.12,2.205,Healthy
"Turkey tenderloin, diced, baked",102.39,0.08,0,2.07,0,20.74,68.73,87.94,0.37,0.2,0.14,5.31,222.19,20.54,1.29,0.27,0.73,2.1,191.49,0.0082,0.3903,0.000529,0.299,0.0022,66.1,7.557,Healthy
"Mayonnaise, spreadable, full fat",830.97,11.23,8.85,74.81,0.03,2.84,744.37,34.26,11.69,36.58,2.37,10.3,53.86,9.67,0.43,10.25,24.53,0.44,63.51,0.0044,0.024,4.30E-05,1.742,0.079,16.34,0.609,Unhealthy
"Caramel candy, miniature, nut filled",564.62,60.66,53.24,23.94,1.6,0.73,32.32,16.01,7.59,86.56,1.83,88.1,145.5,48.4,0.79,1.25,6.77,1.27,103.61,0.0058,0.032,0.000184,0.445,0,11.81,0.916,Unhealthy
"Fried okra, extra crispy, fried in canola oil",363.72,2.82,0.92,22.28,1.41,14.33,584.07,53.47,6.08,26.47,5.41,27.47,314.74,34.12,1.36,3.33,5.87,0.73,199.52,0.0045,0.1557,0.000258,0.835,0.0132,22.08,3.334,Unhealthy
"Spam, stick, processed",221.54,1.94,1.5,16.06,0,12.32,1223.41,99.28,5.19,6.93,5.61,44.03,249.25,21.76,1.96,1,6.19,2.62,80.95,0.0055,0.1793,0.001647,0.317,0.0014,66.42,4.712,Unhealthy
"Hazelnuts, slivered, blanched",607.08,4.66,0,50.36,13.1,16.69,2.85,0,2.64,21.77,0.26,116.22,412.4,385.27,2.65,9.81,12.6,6.87,467.84,0.0017,0.2609,0,21.511,0.0046,44.71,1.449,Healthy
"Salmon sockeye, pieces, steamed",214.68,0.27,0,14.76,0,19.81,113.86,64.69,3.04,0.65,1.87,27.58,307.75,27.15,1.97,4.02,2.36,1.62,226.48,0.0454,0.5767,0.00341,1.944,0.0015,77.96,7.554,Healthy
"Fried shrimp, crispy, fried in vegetable oil",372.03,3.38,1.2,20.91,1.55,8.75,394.99,41.9,6.45,37.21,0.82,16,448.52,15.18,1.62,2.76,7.95,0.52,76.25,0.0062,0.1573,0.000476,0.771,0.013,21.53,1.852,Unhealthy
"Peas green, chopped, baked",47.15,2.75,0,0.39,2.48,3.41,26.37,0,0.04,7.5,41.81,42.57,222.59,21.68,1.31,0.04,0.01,0.23,43.2,0.0669,0.0848,0,1.616,0.1462,22.52,0.634,Healthy
"Mushrooms shiitake, wedged, baked",40.43,3.63,0,0.11,3.05,1.74,30.76,0,0.01,8.12,84.29,13.36,256.63,13.01,0.44,0.02,0.01,0.1,47.82,0.4404,0.0883,0,1.076,0.0557,13.87,1.363,Healthy
"Jicama, wedged, roasted",35.37,0.9,0,0.13,2.09,3.02,18.37,0,0.03,5.53,16.66,28.34,310.2,23.63,0.88,0.02,0.01,0.27,50.72,0.4843,0.2553,0,0.401,0.142,14.8,1.242,Healthy
"Burger double patty, deluxe, breaded",346.46,1.83,1.42,23.74,0.98,16.16,531.67,50.43,6.11,17.04,2.25,137.75,138.85,15.51,1.38,1.3,8.4,2.05,158.57,0.0121,0.1321,0.000754,0.69,0.0062,21.02,4.521,Unhealthy
"Snap peas, halved, grilled",43.45,2.37,0,0.41,3,0.95,22.43,0,0.06,8.99,43.4,26.34,198.79,19.79,0.64,0.04,0.05,0.48,38.49,0.3011,0.27,0,1.162,0.0121,22.81,0.927,Healthy
"Horchata powder, powder, carbonated",248.67,51.77,48.65,1.31,0,0.64,30.01,0,0.49,58.58,3.13,10.7,11.14,0.67,0.37,0.05,0.09,0.06,23.06,0.0009,0.0023,0,0.009,0.0007,4.21,0.109,Unhealthy
"Funnel cake, breaded, deep fried",436.33,1.56,0.42,22.73,1.64,13.78,492.23,39.79,7.19,44.16,0.37,38.32,423.9,31.12,1.3,1.7,6.11,0.56,178.6,0.0049,0.2808,1.80E-05,1.099,0.0144,16.41,3.855,Unhealthy
"Lima beans, sprouted, stewed",183.81,2.6,0,2.17,12.94,12.43,8.71,0,0.41,28.64,0.83,66.36,408.66,50.61,3.72,0.53,0.27,2.6,200.93,0.0025,0.1416,0,0.107,0.0044,44.43,1.577,Healthy
"Mustard greens, diced, microwaved",33.38,1.35,0,0.74,2.41,2.5,44.48,0,0.09,4.18,40.72,244.98,215.55,28.23,0.73,0.19,0.09,0.64,38.29,0.6637,0.1491,0,1.849,0.5415,22.72,1.083,Healthy
"Taco beef, loaded, grilled with sauce",219.77,1.94,1.02,11.13,1.09,11.28,999.63,42.43,4.8,18.62,3.09,49.38,283.58,14.41,2.09,0.96,3.41,1.49,233.67,0.0454,0.0514,0.000483,1.386,0.0085,29.35,5.717,Unhealthy
"Asparagus, wedged, microwaved",34.01,1.39,0,0.37,1.62,2.8,14.05,0,0.05,4.87,30.91,49.63,306.16,13.73,1,0.06,0.04,0.3,49.84,0.3755,0.1441,0,0.947,0.0838,18.75,0.779,Healthy
"Tuna yellowfin, fillet, seared",209.75,0.01,0,11.67,0,25.81,75.7,53.71,1.51,0.37,2.29,22.99,213.73,30.59,1.5,2.48,3.72,0.56,238.29,0.0358,0.3041,0.008792,0.87,0.0015,48.86,4.395,Healthy
"Summer sausage, patty, nitrate cured",314.19,0.69,0.37,29.47,0,10.23,1065.83,60.84,12.75,2.01,1.34,40.39,299.11,23.4,1.52,1.39,9.2,2.49,129.46,0.0094,0.1209,0.000906,0.458,0.0036,54.71,3.91,Unhealthy
"Fish sticks breaded, double, with cheese sauce",405.55,3.28,2.86,23.43,0.74,19.16,716.21,43.34,7.37,29.51,0.88,50.31,186.99,28.04,1.6,2.26,7.19,2.85,135.71,0.0493,0.119,0.001086,0.5,0.0046,27.88,5.913,Unhealthy
"Danish pastry, topped, with frosting",402.92,22.95,19.82,19.32,1.95,4.98,328.68,76.34,7.24,52.28,0.26,72.4,81.7,7.74,1.36,1.2,5.95,0.72,143.37,0.0321,0.0599,2.50E-05,1.006,0.0075,34.58,0.835,Unhealthy
"Endive, diced, boiled",43.19,1.23,0,0.83,3.03,3.65,35.56,0,0.15,5.28,58.74,83.75,325.55,68.26,2.61,0.11,0.12,0.79,36.14,0.6598,0.178,0,2.773,0.8039,22.31,0.463,Healthy
"Fish sticks breaded, double, grilled with sauce",320.69,8.39,5.76,16.57,1.82,11.76,902.74,54.35,7.36,31.13,1.59,59.31,194.43,15.71,2.22,1.27,6.47,1.58,189.37,0.0312,0.1266,0.000429,1.331,0.0038,44.51,4.344,Unhealthy
"Cranberry, halved, dehydrated",77.48,12.76,0,0.2,3.95,0.77,0.95,0,0.03,18.15,74.74,24.56,108.06,19.35,0.11,0.01,0.02,0.13,25.84,0.0073,0.1068,0,0.807,0.0036,6.04,0.459,Healthy
"Lima beans, mature, simmered",153.59,4.33,0,0.51,12.27,7.48,12.75,0,0.07,29.77,1.81,47.91,403.47,42.2,6.17,0.1,0.06,2.32,120.29,0.0042,0.1931,0,0.461,0.008,45.09,2.362,Healthy
"Millet, dry, steamed",146.59,0.3,0,2.07,4.93,5.89,8.65,0,0.25,26.1,0.22,15.46,232.92,32.54,1.99,0.23,0.71,1.23,189.17,0.0008,0.4856,0,1.098,0.0033,10.81,4.531,Healthy
"Chicken thigh skinless, boneless, grilled",167.11,0.04,0,7.35,0,25.11,65.98,77.31,1.48,0.13,0,13.84,248.79,28.18,0.85,0.99,2.63,1.28,175.29,0.0176,0.5755,0.000458,0.342,0.0028,58.88,7.804,Healthy
"Brownie, regular, with icing",490.68,21.85,21.05,25.4,0.86,5.84,312.47,94.32,9.76,59.68,0.22,46.59,105.97,18.58,1.24,2.12,7.77,0.84,91.68,0.0294,0.0204,3.20E-05,2.3,0.0061,33.98,1.331,Unhealthy
"Radicchio, baby, blanched",30.85,0.41,0,0.85,1.61,3.78,68.04,0,0.16,2.02,13.13,80.18,435.41,27.67,1.15,0.16,0.1,0.43,47.75,0.8766,0.275,0,2.639,0.7809,20.69,1.377,Healthy
"Frosting chocolate, creamy, flavored",554.48,5.95,4.44,54.84,1.5,2.08,450.89,31.35,8.38,13.15,4.8,12.44,142.32,7.56,0.33,6.23,19.41,0.31,22.27,0.0052,0.09,1.20E-05,8.193,0.0485,19.41,0.523,Unhealthy
"Fried ravioli, battered, flash fried",394.71,2.98,0.24,22.91,1.95,6.45,490.4,35.34,6.53,40.68,9.84,42.62,327.64,31.95,0.68,1.59,7.42,0.43,73.25,0.0083,0.18,0.000858,2.839,0.0127,27.95,3.256,Unhealthy
"Halibut, whole, steamed",196.99,0.07,0,12.35,0,21.03,55.49,70.07,0.7,0.43,1.16,43.15,215.92,21.72,1.61,3.3,3.59,0.61,333.94,0.0303,0.4273,0.007778,0.591,0.003,47.05,3.51,Healthy
"Mango, without skin, fresh",50.2,7.75,0,0.68,2.3,0.97,1.95,0,0.04,10.05,19.65,21.91,293.81,8.91,0.43,0.06,0.06,0.11,26.24,0.013,0.1429,0,1.202,0.0014,8.79,0.37,Healthy
"Chicken liver, sliced, braised",176.12,0.05,0,7.32,0,27.07,70.85,69.86,1.84,0.49,0.24,7.48,259.64,24.22,1.46,1.02,2.93,2.49,168.8,0.0129,0.6712,0.000796,0.142,0.0016,59.71,6.658,Healthy
"Eggplant, julienned, boiled",24.97,1.44,0,0.33,1.92,2.14,42.2,0,0.08,3.36,35.52,16.81,336.95,16.71,0.61,0.03,0.02,0.34,41.8,0.4207,0.0937,0,1.199,0.1344,5.44,1.147,Healthy
"Fried calamari, beer battered, shallow fried",357.85,2.95,1.37,17.01,2.87,6.9,638.14,39.75,3.75,44.29,2.86,10.24,411.63,28.21,1.65,1.89,6.05,1.08,193,0.0021,0.1912,0.000614,1.973,0.0064,21.13,3.726,Unhealthy
"Caramel candy, fun size, caramel filled",596.61,41.92,35.17,33.65,2.31,3.86,47.31,7.23,17.45,69.58,0.14,18.58,205.55,21.03,1.51,0.61,11.28,0.28,75.28,0.0082,0.0023,5.50E-05,1.58,0.0001,10.94,0.719,Unhealthy
"Cinnamon roll, mini, with glaze",501.27,38.22,37.35,22.43,0.66,4.96,397.28,74.6,8.17,69.89,0.55,57.43,62.03,12.1,2.02,1.79,7.83,0.3,70.88,0.0151,0.0643,0.000139,2.703,0.0022,15.18,1.61,Unhealthy
"Amaranth, dry, steamed",153.38,0.77,0,1.86,3.21,8.04,2.88,0,0.39,26.12,0.18,35.98,209.63,31.2,1.72,0.29,0.38,1.96,213.55,0.0008,0.3963,0,0.882,0.0046,10.64,5.254,Healthy
"Honeydew, with skin, canned in juice",70.86,11.63,0,0.26,2.31,1.47,1.18,0,0.01,15.66,75.26,26.45,302.36,18.51,0.21,0.03,0.02,0.16,16.65,0.058,0.0433,0,0.592,0.0061,9.73,0.667,Healthy
"Bok choy, mature, sauteed",37.6,2.16,0,0.8,3.47,1.97,40.48,0,0.09,5.63,42.42,193.48,383.46,51.14,1.81,0.23,0.09,0.31,23.5,0.2294,0.0602,0,1.709,0.2297,23.19,0.743,Healthy
"Eclair, jumbo, with powdered sugar",478.58,24.09,22.35,26.1,1.47,5.41,213.54,93.98,11.96,55.51,0.09,73.84,90.27,19.59,0.94,2.08,5.88,0.99,81.23,0.0391,0.095,4.40E-05,2.835,0.0127,29.85,1.323,Unhealthy
"Shrimp, canned in oil drained, raw",119.39,0.06,0,5.51,0,16.63,49.21,64.03,0.77,0.82,1.16,26.6,312.9,23.24,0.51,0.72,1.47,0.31,271.62,0.0382,0.2328,0.003177,0.723,0.0004,66.78,6.444,Healthy
"Fried dough, breaded, flash fried",430.48,1.81,0.3,23.88,2.29,9.21,345.91,47.22,5.38,44.68,2.79,36.64,464.2,26.33,1.92,1.7,8.98,0.83,72.47,0.0033,0.1225,9.90E-05,1.198,0.0051,26.28,3.763,Unhealthy
"Hazelnuts, chopped, toasted",621.01,2.32,0,50.73,6.23,21.88,1.89,0,6.08,19.23,1.06,67.19,588.06,396.42,2.72,3.32,20.92,7.6,581.27,0,0.5365,0,4.686,0.0004,59.88,5.267,Healthy
"Chicken wing skinless, cubed, roasted",181.27,0.36,0,7.23,0,28.15,63.31,56.72,1.78,0.9,0.11,12.89,290.7,24.56,0.57,0.49,1.99,1.04,183.54,0.0098,0.6365,0.000748,0.459,0.0003,89.24,10.241,Healthy
"Chips veggie fried, family size, seasoned",429.5,2.38,0.51,20.78,4.31,7.19,562.95,1.22,6.6,53.43,5.58,36.31,523.55,35.08,1.83,1.23,5.97,0.86,63.92,0.0017,0.2808,0,3.746,0.0065,23.53,1.362,Unhealthy
"Frosting chocolate, whipped, full fat",356.64,12.41,11.1,23.64,2.9,1.2,462.31,13.37,9.18,34.77,3.88,17.37,86.59,15.65,0.98,2.22,5.49,0.24,83.24,0.0037,0.0699,5.50E-05,8.702,0.096,9.33,0.27,Unhealthy
